                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.7535,                 2.3917,                0.83838,                0.74316,                0.37826,                0.41399,                0.17758,                 1.8266,                  1.945,                 1.0488,             0.00097564,             0.00097564,             0.00097564
                     69,                 1.7175,                 2.7965,                0.82839,                0.67612,                0.34949,                0.35508,                0.11699,                 2.1245,                 2.0548,                 1.0905,             0.00097491,             0.00097491,             0.00097491
                     70,                 1.8326,                 2.3526,                0.84651,                0.66656,                0.30991,                0.41941,                0.17069,                 2.0781,                 2.5665,                  1.093,             0.00097418,             0.00097418,             0.00097418
                     71,                 1.6414,                 2.4545,                0.79204,                0.73631,                0.38678,                0.42122,                 0.1774,                 1.8118,                 1.9049,                 1.0378,             0.00097343,             0.00097343,             0.00097343
                     72,                   1.84,                 2.3423,                0.89444,                 0.7487,                0.36494,                0.45231,                0.19379,                 1.8193,                 2.1366,                 1.0449,             0.00097268,             0.00097268,             0.00097268
                     73,                 1.8124,                 2.1168,                0.86501,                0.66047,                0.35962,                0.40491,                 0.1636,                 1.8605,                 1.9776,                  1.051,             0.00097191,             0.00097191,             0.00097191
                     74,                 1.7511,                 2.4178,                0.86948,                0.60811,                0.33884,                0.37751,                0.15549,                 1.9446,                 2.0252,                 1.0738,             0.00097113,             0.00097113,             0.00097113
                     75,                 1.6675,                 2.1734,                0.81041,                0.66633,                 0.3463,                0.40249,                0.17553,                 1.8911,                 2.0298,                 1.0589,             0.00097035,             0.00097035,             0.00097035
                     76,                 1.7119,                 2.0657,                0.84835,                0.65749,                0.35589,                0.38427,                0.15072,                  1.884,                 1.8643,                 1.0758,             0.00096955,             0.00096955,             0.00096955
                     77,                 1.7943,                 2.3797,                 0.8763,                0.64535,                0.35386,                0.38422,                0.14408,                 1.9931,                 2.0185,                 1.0975,             0.00096875,             0.00096875,             0.00096875
                     78,                 1.7898,                 2.0913,                0.86837,                0.71139,                0.37666,                0.44055,                0.19469,                 1.7788,                 1.9199,                 1.0624,             0.00096793,             0.00096793,             0.00096793
                     79,                 1.6451,                 2.1341,                0.82644,                0.69328,                0.35908,                0.40902,                0.18984,                 1.9567,                 1.9837,                 1.1096,              0.0009671,              0.0009671,              0.0009671
                     80,                 1.7386,                 1.9292,                0.82942,                0.68592,                0.36388,                 0.4207,                0.17117,                 1.9569,                 1.9827,                 1.0999,             0.00096627,             0.00096627,             0.00096627
                     81,                 1.6717,                 2.1558,                 0.8185,                0.63924,                0.32286,                0.37083,                0.14157,                  1.956,                 2.4072,                 1.0883,             0.00096542,             0.00096542,             0.00096542
