                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                 1.4792,                  1.338,                0.77372,                0.82212,                 0.4033,                0.46042,                0.20647,                 1.7076,                 1.6965,                 1.0144,             0.00083849,             0.00083849,             0.00083849
                     91,                 1.6825,                 1.3374,                0.86948,                0.81567,                0.41491,                 0.4703,                0.21883,                 1.6276,                 1.7235,                 1.0028,             0.00083511,             0.00083511,             0.00083511
                     92,                 1.5288,                 1.3628,                0.80688,                0.78105,                0.41811,                0.46937,                0.21003,                 1.6451,                  1.689,                0.99584,             0.00083171,             0.00083171,             0.00083171
                     93,                 1.5519,                 1.3396,                 0.8154,                0.80396,                0.41822,                0.47509,                0.20297,                 1.6595,                 1.6068,                0.98639,             0.00082829,             0.00082829,             0.00082829
                     94,                 1.5282,                 1.4142,                 0.8078,                0.80074,                0.41875,                0.48265,                0.21332,                 1.6606,                 1.6241,                0.99901,             0.00082483,             0.00082483,             0.00082483
                     95,                 1.5455,                 1.3896,                0.81248,                0.81784,                0.41236,                 0.4739,                0.21467,                 1.6959,                 1.7722,                 1.0321,             0.00082136,             0.00082136,             0.00082136
                     96,                 1.4665,                 1.2169,                0.81593,                0.78766,                0.41236,                0.48361,                0.21424,                 1.6073,                 1.6329,                0.98983,             0.00081786,             0.00081786,             0.00081786
                     97,                 1.4878,                 1.3855,                0.81292,                0.77681,                0.40384,                0.46069,                0.18692,                 1.6227,                 1.8084,                0.97571,             0.00081433,             0.00081433,             0.00081433
                     98,                 1.6076,                 1.6026,                0.80948,                0.73181,                0.41716,                 0.4485,                0.20749,                 1.6959,                 1.7726,                0.99935,             0.00081078,             0.00081078,             0.00081078
                     99,                 1.5614,                 1.3489,                0.79988,                0.79003,                0.41875,                0.47529,                0.22653,                 1.6451,                 1.6364,                0.98886,             0.00080721,             0.00080721,             0.00080721
                    100,                 1.5183,                  1.403,                0.81624,                0.79576,                0.41769,                0.47883,                0.23402,                 1.6103,                 1.6472,                0.99533,             0.00080362,             0.00080362,             0.00080362
                    101,                 1.5834,                  1.318,                0.86611,                0.83348,                0.41875,                0.48673,                0.22774,                 1.6319,                 1.5596,                0.98378,                 0.0008,                 0.0008,                 0.0008
